Country,Response,Weighted_prop,Unweighted count
Afghanistan,Strongly agree,0.7828,774
Afghanistan,Somewhat agree,0.1769,180
Afghanistan,Neither agree nor disagree,0.0184,16
Afghanistan,Somewhat disagree,0.0107,11
Afghanistan,Strongly disagree,0.0077,8
Afghanistan,Don't know/Refused,0.0035,4
Albania,Strongly agree,0.5198,437
Albania,Somewhat agree,0.2191,177
Albania,Neither agree nor disagree,0.1355,124
Albania,Somewhat disagree,0.0666,52
Albania,Strongly disagree,0.023,19
Albania,Don't know/Refused,0.036,36
Algeria,Strongly agree,0.4503,438
Algeria,Somewhat agree,0.1943,178
Algeria,Neither agree nor disagree,0.1795,170
Algeria,Somewhat disagree,0.049,48
Algeria,Strongly disagree,0.028,25
Algeria,Don't know/Refused,0.0988,76
Argentina,Strongly agree,0.7299,703
Argentina,Somewhat agree,0.1647,150
Argentina,Neither agree nor disagree,0.0685,71
Argentina,Somewhat disagree,0.0209,24
Argentina,Strongly disagree,0.0086,8
Argentina,Don't know/Refused,0.0075,8
Armenia,Strongly agree,0.2768,238
Armenia,Somewhat agree,0.2747,249
Armenia,Neither agree nor disagree,0.1976,174
Armenia,Somewhat disagree,0.0747,65
Armenia,Strongly disagree,0.05,50
Armenia,Don't know/Refused,0.1263,101
Australia,Strongly agree,0.7157,719
Australia,Somewhat agree,0.1868,181
Australia,Neither agree nor disagree,0.0466,38
Australia,Somewhat disagree,0.0235,20
Australia,Strongly disagree,0.0174,12
Australia,Don't know/Refused,0.01,12
Austria,Strongly agree,0.43120000000000003,387
Austria,Somewhat agree,0.2533,224
Austria,Neither agree nor disagree,0.2015,174
Austria,Somewhat disagree,0.0716,64
Austria,Strongly disagree,0.0413,35
Austria,Don't know/Refused,0.0011,2
Azerbaijan,Strongly agree,0.4974,461
Azerbaijan,Somewhat agree,0.1974,186
Azerbaijan,Neither agree nor disagree,0.1612,141
Azerbaijan,Somewhat disagree,0.0433,37
Azerbaijan,Strongly disagree,0.0409,39
Azerbaijan,Don't know/Refused,0.0598,53
Bangladesh,Strongly agree,0.9345,915
Bangladesh,Somewhat agree,0.0436,43
Bangladesh,Neither agree nor disagree,0.0084,10
Bangladesh,Somewhat disagree,0.0034,3
Bangladesh,Strongly disagree,0.0011,1
Bangladesh,Don't know/Refused,0.009,10
Belarus,Strongly agree,0.2932,309
Belarus,Somewhat agree,0.1654,167
Belarus,Neither agree nor disagree,0.3468,351
Belarus,Somewhat disagree,0.0663,66
Belarus,Strongly disagree,0.0321,33
Belarus,Don't know/Refused,0.0964,67
Belgium,Strongly agree,0.6272,585
Belgium,Somewhat agree,0.1989,185
