Country,Response,Weighted_prop,Unweighted count
Afghanistan,Low trust,0.1783,164
Afghanistan,Medium trust,0.4399,447
Afghanistan,High trust,0.104,128
Afghanistan,DK/Refused,0.2778,261
Albania,Low trust,0.3916,367
Albania,Medium trust,0.4623,490
Albania,High trust,0.1021,90
Albania,DK/Refused,0.044,53
Algeria,Low trust,0.2783,268
Algeria,Medium trust,0.4912,529
Algeria,High trust,0.0471,50
Algeria,DK/Refused,0.1834,153
Argentina,Low trust,0.1821,177
Argentina,Medium trust,0.5641,574
Argentina,High trust,0.2071,208
Argentina,DK/Refused,0.0467,41
Armenia,Low trust,0.2463,244
Armenia,Medium trust,0.5377,544
Armenia,High trust,0.0591,56
Armenia,DK/Refused,0.1568,156
Australia,Low trust,0.075,71
Australia,Medium trust,0.5817,574
Australia,High trust,0.3345,351
Australia,DK/Refused,0.0088,7
Austria,Low trust,0.0857,74
Austria,Medium trust,0.6797,674
Austria,High trust,0.2172,234
Austria,DK/Refused,0.0175,18
Azerbaijan,Low trust,0.1089,102
Azerbaijan,Medium trust,0.6127,612
Azerbaijan,High trust,0.1846,199
Azerbaijan,DK/Refused,0.0938,87
Bangladesh,Low trust,0.0815,80
Bangladesh,Medium trust,0.6257,629
Bangladesh,High trust,0.2163,207
Bangladesh,DK/Refused,0.0765,84
Belarus,Low trust,0.1349,131
Belarus,Medium trust,0.7066,765
Belarus,High trust,0.0672,82
Belarus,DK/Refused,0.0913,83
Belgium,Low trust,0.0794,79
Belgium,Medium trust,0.4815,494
Belgium,High trust,0.4237,417
Belgium,DK/Refused,0.0155,14
Benin,Low trust,0.4019,426
Benin,Medium trust,0.2747,310
Benin,High trust,0.1369,117
Benin,DK/Refused,0.1864,147
Bolivia,Low trust,0.3505,348
Bolivia,Medium trust,0.5223,529
Bolivia,High trust,0.0537,57
Bolivia,DK/Refused,0.0735,66
Bosnia and Herzegovina,Low trust,0.3468,351
Bosnia and Herzegovina,Medium trust,0.5503,545
Bosnia and Herzegovina,High trust,0.0246,29
Bosnia and Herzegovina,DK/Refused,0.0782,75
Botswana,Low trust,0.2721,297
Botswana,Medium trust,0.3452,343
Botswana,High trust,0.2008,178
Botswana,DK/Refused,0.1819,184
Brazil,Low trust,0.2965,302
Brazil,Medium trust,0.5266,525
Brazil,High trust,0.1319,122
Brazil,DK/Refused,0.0451,51
Bulgaria,Low trust,0.197,194
Bulgaria,Medium trust,0.5501,564
Bulgaria,High trust,0.1122,112
Bulgaria,DK/Refused,0.1407,131
Burkina Faso,Low trust,0.2343,275
Burkina Faso,Medium trust,0.3426,403
Burkina Faso,High trust,0.1296,101
Burkina Faso,DK/Refused,0.2935,221
Burundi,Low trust,0.4159,419
Burundi,Medium trust,0.2553,242
Burundi,High trust,0.1589,168
Burundi,DK/Refused,0.1699,171
Cambodia,Low trust,0.0478,47
Cambodia,Medium trust,0.4542,392
Cambodia,High trust,0.062,57
Cambodia,DK/Refused,0.4361,504
Cameroon,Low trust,0.2936,320
Cameroon,Medium trust,0.4004,427
Cameroon,High trust,0.1289,110
Cameroon,DK/Refused,0.1771,143
Canada,Low trust,0.0713,76
Canada,Medium trust,0.5861,591
Canada,High trust,0.2818,299
Canada,DK/Refused,0.0608,46
Chad,Low trust,0.3081,352
Chad,Medium trust,0.3383,349
Chad,High trust,0.1007,100
Chad,DK/Refused,0.253,199
Chile,Low trust,0.2503,265
Chile,Medium trust,0.5468,536
Chile,High trust,0.1518,143
Chile,DK/Refused,0.0512,56
China,Low trust,0.0698,249
China,Medium trust,0.5301,1789
China,High trust,0.1877,747
China,DK/Refused,0.2123,864
Colombia,Low trust,0.323,321
Colombia,Medium trust,0.5156,523
Colombia,High trust,0.1036,95
Colombia,DK/Refused,0.0578,61
Comoros,Low trust,0.3793,390
Comoros,Medium trust,0.3637,370
Comoros,High trust,0.1061,98
Comoros,DK/Refused,0.1509,142
"Congo, Rep.",Low trust,0.4048,419
"Congo, Rep.",Medium trust,0.2521,266
"Congo, Rep.",High trust,0.1089,114
"Congo, Rep.",DK/Refused,0.2342,201
Costa Rica,Low trust,0.1947,210
Costa Rica,Medium trust,0.565,542
Costa Rica,High trust,0.2181,219
Costa Rica,DK/Refused,0.0222,29
Croatia,Low trust,0.2032,178
Croatia,Medium trust,0.5572,569
Croatia,High trust,0.1461,184
Croatia,DK/Refused,0.0934,69
Cyprus,Low trust,0.1347,134
Cyprus,Medium trust,0.5093,520
Cyprus,High trust,0.1879,210
Cyprus,DK/Refused,0.1681,147
Czech Republic,Low trust,0.1584,146
Czech Republic,Medium trust,0.4322,435
Czech Republic,High trust,0.3257,338
Czech Republic,DK/Refused,0.0837,81
Denmark,Low trust,0.0682,59
Denmark,Medium trust,0.623,638
Denmark,High trust,0.307,302
Denmark,DK/Refused,0.0017,1
Dominican Republic,Low trust,0.254,272
Dominican Republic,Medium trust,0.5657,539
Dominican Republic,High trust,0.1373,132
Dominican Republic,DK/Refused,0.043,57
Ecuador,Low trust,0.3535,371
Ecuador,Medium trust,0.5279,496
Ecuador,High trust,0.0763,85
Ecuador,DK/Refused,0.0423,48
Egypt,Low trust,0.1024,96
Egypt,Medium trust,0.3763,384
Egypt,High trust,0.2402,228
Egypt,DK/Refused,0.2811,292
El Salvador,Low trust,0.3817,421
El Salvador,Medium trust,0.4949,458
El Salvador,High trust,0.0877,85
El Salvador,DK/Refused,0.0358,36
Estonia,Low trust,0.0555,61
Estonia,Medium trust,0.603,590
Estonia,High trust,0.2007,188
Estonia,DK/Refused,0.1409,161
Ethiopia,Low trust,0.1116,125
Ethiopia,Medium trust,0.486,526
Ethiopia,High trust,0.1533,150
Ethiopia,DK/Refused,0.249,199
Finland,Low trust,0.0708,65
Finland,Medium trust,0.5747,585
Finland,High trust,0.3507,345
Finland,DK/Refused,0.0038,5
France,Low trust,0.0919,88
France,Medium trust,0.6922,674
France,High trust,0.209,233
France,DK/Refused,0.0069,5
Gabon,Low trust,0.4727,485
Gabon,Medium trust,0.3354,347
Gabon,High trust,0.0856,84
Gabon,DK/Refused,0.1063,84
Georgia,Low trust,0.2122,210
Georgia,Medium trust,0.6217,616
Georgia,High trust,0.0546,59
Georgia,DK/Refused,0.1116,115
Germany,Low trust,0.1188,118
Germany,Medium trust,0.619,610
Germany,High trust,0.2468,252
Germany,DK/Refused,0.0154,20
Ghana,Low trust,0.123,118
Ghana,Medium trust,0.5387,581
Ghana,High trust,0.205,220
Ghana,DK/Refused,0.1333,81
Greece,Low trust,0.2087,206
Greece,Medium trust,0.6102,620
Greece,High trust,0.0951,93
Greece,DK/Refused,0.086,81
Guatemala,Low trust,0.3954,386
Guatemala,Medium trust,0.4408,449
Guatemala,High trust,0.0807,89
Guatemala,DK/Refused,0.0831,76
Guinea,Low trust,0.2221,263
Guinea,Medium trust,0.3188,350
Guinea,High trust,0.2791,232
Guinea,DK/Refused,0.18,155
Haiti,Low trust,0.2254,121
Haiti,Medium trust,0.5667,287
Haiti,High trust,0.1127,49
Haiti,DK/Refused,0.0952,43
Honduras,Low trust,0.3058,324
Honduras,Medium trust,0.5004,487
Honduras,High trust,0.1189,110
Honduras,DK/Refused,0.0749,79
Hungary,Low trust,0.1315,122
Hungary,Medium trust,0.6722,674
Hungary,High trust,0.1241,138
Hungary,DK/Refused,0.0723,66
Iceland,Low trust,0.0389,18
Iceland,Medium trust,0.6261,300
Iceland,High trust,0.3171,172
Iceland,DK/Refused,0.0179,10
India,Low trust,0.1366,411
India,Medium trust,0.5446,1647
India,High trust,0.2114,639
India,DK/Refused,0.1074,303
Indonesia,Low trust,0.2021,208
Indonesia,Medium trust,0.5442,553
Indonesia,High trust,0.0824,75
Indonesia,DK/Refused,0.1713,164
Iran,Low trust,0.061,56
Iran,Medium trust,0.5517,554
Iran,High trust,0.1915,203
Iran,DK/Refused,0.1958,192
Iraq,Low trust,0.2512,238
Iraq,Medium trust,0.5021,519
Iraq,High trust,0.1873,191
