"country","question","answer","National results","raw_count"
"Afghanistan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.72409095782580191","719"
"Afghanistan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.21827924356425249","216"
"Afghanistan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","7.7157533432743028E-3","7"
"Afghanistan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","3.5529321696588172E-2","35"
"Afghanistan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","9.180534052298666E-3","10"
"Afghanistan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","5.2041895177830973E-3","6"
"Afghanistan","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","993"
"Albania","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.49437826884008457","403"
"Albania","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.14400570417231562","117"
"Albania","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.14946559684080252","139"
"Albania","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","0.11009896357784114","88"
"Albania","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","4.8382648582598345E-2","42"
"Albania","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","5.3668817986356719E-2","56"
"Albania","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","845"
"Algeria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.42762893667671614","416"
"Algeria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.20257583322139289","191"
"Algeria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.1868226142392185","172"
"Algeria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","7.6860067575803659E-2","70"
"Algeria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","3.5896912684443033E-2","30"
"Algeria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","7.021563560242465E-2","56"
"Algeria","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","935"
"Argentina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.76667142656162435","734"
"Argentina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.11012246929791127","106"
"Argentina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","6.2155739779879558E-2","63"
"Argentina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","3.5258561451101511E-2","34"
"Argentina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","1.3195163336568583E-2","11"
"Argentina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","1.2596639572912651E-2","16"
"Argentina","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","964"
"Armenia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.21378800488110861","187"
"Armenia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.20637621325970174","195"
"Armenia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","0.26105793586793613","218"
"Armenia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","0.12586027916481637","106"
"Armenia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","7.9842337285918219E-2","76"
"Armenia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Don't know/Refused","0.11307522954051966","95"
"Armenia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Total","1","877"
"Australia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly agree","0.60994929694967015","628"
"Australia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat agree","0.22334695907986016","209"
"Australia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Neither agree nor disagree","8.3441969632185475E-2","70"
"Australia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Somewhat disagree","3.5424723734292764E-2","35"
"Australia","Q25 Do you strongly or somewhat agree, strongly or somewhat disagree or neither agree nor disagree with the following statement? Vaccines are safe.","Strongly disagree","3.3637425721693683E-2","24"
